distributor_id,industry,sku,category,sales,avg_quarterly_sales,movement_category,quarter,year,total_quarter_sales,prev_quarter_sales,is_diwali,is_ganesh_chaturthi,is_gudi_padwa,is_eid,is_akshay_tritiya,is_dussehra_navratri,is_onam,is_christmas,time_idx,date
DIST036,Healthcare,MDH Garam Masala,Food,4726.09,6345.93,Fast Moving,2,2022,4726.09,9533.64,0,0,1,0,1,0,0,0,26645,2022-04-02
DIST007,E-commerce,Shell Helix Ultra 4L,Automotive,4015.0,4141.9,Slow Moving,3,2023,4015.0,3504.12,0,1,0,1,0,1,1,0,4927,2023-09-19
DIST012,Retail,PlayStation 5 Digital Edition,Toys,12386.14,13593.1,Medium,2,2024,12386.14,11915.21,0,0,1,1,1,0,0,0,8683,2024-04-10
DIST034,E-commerce,PlayStation 5 Digital Edition,Toys,13198.1,13593.1,Medium,4,2020,13198.1,9534.84,1,0,0,1,0,1,0,1,25185,2020-11-14
DIST009,Manufacturing,Britannia Good Day Cookies,Food,3148.8,4600.58,Medium,1,2023,3148.8,5176.39,0,0,1,1,0,0,0,0,6160,2023-03-24
DIST013,Manufacturing,MTR Breakfast Mix,Food,699.5,640.46,Slow Moving,2,2023,699.5,704.52,0,0,1,0,1,0,0,0,9337,2023-03-20
DIST037,Education,Philips Air Purifier 3000i,Electronics,1223.22,2898.74,Medium,2,2021,1223.22,848.68,0,0,1,1,1,0,0,0,27424,2021-04-15
DIST013,Manufacturing,Vans Old Skool Sneakers,Apparel,3138.0,13401.03,Slow Moving,1,2020,3138.0,2824.2,0,0,1,0,0,0,0,0,9370,2020-03-27
DIST021,Healthcare,Ensure Protein Powder,Health,9855.6,6692.47,Slow Moving,4,2024,9855.6,7448.58,1,0,0,0,0,1,0,1,15421,2024-11-03
DIST034,E-commerce,Dove Moisturizing Cream,Beauty,3128.76,3468.33,Fast Moving,3,2022,3128.76,1890.59,0,1,0,1,0,1,1,0,24985,2022-09-02
DIST048,Manufacturing,Philips Dry Iron,Home Goods,2693.51,1900.07,Fast Moving,2,2024,2693.51,1698.25,0,0,1,1,1,0,0,0,35672,2024-04-09
DIST041,E-commerce,Reebok Dumbbells Set,Sports,916.76,1200.72,Slow Moving,2,2024,916.76,615.11,0,0,1,1,1,0,0,0,31106,2024-04-10
DIST011,Healthcare,Real Mixed Fruit Juice,Beverages,3139.73,3092.51,Slow Moving,4,2025,3139.73,2953.68,1,0,0,0,0,1,0,1,8092,2025-12-06
DIST037,Education,Lego Classic Creative Box,Toys,22787.17,16891.13,Slow Moving,4,2021,22787.17,12001.69,1,0,0,0,0,1,0,1,27560,2021-11-03
DIST036,Healthcare,MTR Breakfast Mix,Food,798.01,640.46,Medium,1,2024,798.01,1179.28,0,0,1,1,0,0,0,0,26948,2024-04-11
DIST037,Education,Bosch Wiper Blades,Automotive,10326.25,6474.21,Slow Moving,4,2024,10326.25,9099.75,1,0,0,0,0,1,0,1,27891,2024-11-03
DIST038,Education,Dulux Velvet Touch Diamond Glo,Paint and ancillaries,2300.67,2159.99,Fast Moving,3,2021,2300.67,2628.02,0,1,0,1,0,1,1,0,28467,2021-09-09
