epoch,step,train_loss_epoch,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,0,,7900.42529296875,1.0000237226486206,8098.14990234375,1.9999891519546509,7899.47802734375
0,0,7900.27587890625,,,,,
1,1,,7899.13037109375,0.9998472332954407,8096.88720703125,1.9993891716003418,7898.80712890625
1,1,7899.46630859375,,,,,
2,2,,7899.00927734375,0.9998300075531006,8096.77001953125,1.999320149421692,7898.31103515625
2,2,7898.822265625,,,,,
3,3,,7898.58447265625,0.9997723698616028,8096.35791015625,1.9990897178649902,7897.79443359375
3,3,7898.31494140625,,,,,
4,4,,7898.06494140625,0.9997019171714783,8095.8515625,1.9988082647323608,7897.22216796875
4,4,7897.80029296875,,,,,
5,5,,7897.537109375,0.9996306896209717,8095.337890625,1.998523235321045,7896.60400390625
5,5,7897.2265625,,,,,
6,6,,7896.98095703125,0.9995555877685547,8094.794921875,1.9982231855392456,7895.92431640625
6,6,7896.60791015625,,,,,
7,7,,7896.37353515625,0.9994735717773438,8094.20263671875,1.997895359992981,7895.18115234375
7,7,7895.92822265625,,,,,
8,8,,7895.66162109375,0.999377429485321,8093.5078125,1.9975109100341797,7894.37744140625
8,8,7895.18505859375,,,,,
9,9,,7894.8359375,0.9992656707763672,8092.70263671875,1.9970651865005493,7893.50634765625
9,9,7894.380859375,,,,,
10,10,,7893.900390625,0.9991393685340881,8091.78955078125,1.9965605735778809,7892.56884765625
10,10,7893.51025390625,,,,,
11,11,,7892.90869140625,0.9990053176879883,8090.822265625,1.9960259199142456,7891.572265625
11,11,7892.57470703125,,,,,
12,12,,7891.892578125,0.9988679885864258,8089.83056640625,1.9954776763916016,7890.513671875
12,12,7891.57470703125,,,,,
13,13,,7890.857421875,0.9987282156944275,8088.82177734375,1.9949196577072144,7889.384765625
13,13,7890.51806640625,,,,,
14,14,,7889.77490234375,0.9985817074775696,8087.76416015625,1.9943357706069946,7888.185546875
14,14,7889.388671875,,,,,
15,15,,7888.611328125,0.998424768447876,8086.63037109375,1.9937100410461426,7886.919921875
15,15,7888.18994140625,,,,,
16,16,,7887.36083984375,0.9982555508613586,8085.40966796875,1.9930356740951538,7885.591796875
16,16,7886.92529296875,,,,,
17,17,,7886.01123046875,0.9980733394622803,8084.09521484375,1.9923095703125,7884.197265625
17,17,7885.59619140625,,,,,
18,18,,7884.58251953125,0.9978802800178528,8082.70068359375,1.991540551185608,7882.73095703125
18,18,7884.201171875,,,,,
19,19,,7883.08447265625,0.9976779818534851,8081.23974609375,1.9907349348068237,7881.1953125
19,19,7882.736328125,,,,,
20,20,,7881.55029296875,0.9974705576896667,8079.7421875,1.9899097681045532,7879.59375
20,20,7881.19873046875,,,,,
21,21,,7879.966796875,0.9972565174102783,8078.197265625,1.9890586137771606,7877.92529296875
21,21,7879.59716796875,,,,,
22,22,,7878.30615234375,0.9970319867134094,8076.578125,1.9881668090820312,7876.185546875
22,22,7877.9296875,,,,,
23,23,,7876.56787109375,0.9967975616455078,8074.88330078125,1.987234115600586,7874.37841796875
23,23,7876.19091796875,,,,,
24,24,,7874.76904296875,0.9965543746948242,8073.12890625,1.9862686395645142,7872.50146484375
24,24,7874.3828125,,,,,
25,25,,7872.89599609375,0.9963011145591736,8071.30126953125,1.9852641820907593,7870.55712890625
25,25,7872.50537109375,,,,,
26,26,,7870.939453125,0.996036946773529,8069.39306640625,1.9842158555984497,7868.54345703125
26,26,7870.560546875,,,,,
27,27,,7868.91845703125,0.9957635998725891,8067.42041015625,1.9831327199935913,7866.45947265625
27,27,7868.546875,,,,,
28,28,,7866.84375,0.9954835772514343,8065.39697265625,1.9820218086242676,7864.310546875
28,28,7866.46533203125,,,,,
29,29,,7864.70947265625,0.9951953887939453,8063.31787109375,1.9808812141418457,7862.09375
29,29,7864.31494140625,,,,,
