,distributor_id,industry,sku,category,sales,avg_quarterly_sales,movement_category,quarter,year,total_quarter_sales,prev_quarter_sales,is_diwali,is_ganesh_chaturthi,is_gudi_padwa,is_eid,is_akshay_tritiya,is_dussehra_navratri,is_onam,is_christmas,time_idx
0,0,5,42,2,2938.93,2378.99,1,2,2021,2938.93,2647.17,0,0,1,1,1,0,0,0,0
1,0,5,42,2,4818.94,2378.99,1,4,2022,4818.94,4481.01,1,0,0,0,0,1,0,1,1
2,0,5,42,2,3712.86,2378.99,1,2,2023,3712.86,4818.94,0,0,1,0,1,0,0,0,2
3,0,5,42,2,3487.3,2378.99,1,3,2024,3487.3,3162.65,0,1,0,0,0,1,1,0,3
4,0,5,42,2,2768.32,2378.99,0,1,2025,2768.32,5339.87,0,0,1,1,0,0,0,0,4
5,0,5,42,2,5179.49,2378.99,0,4,2025,5179.49,4257.1,1,0,0,0,0,1,0,1,5
6,0,5,10,2,13956.36,21784.25,2,2,2020,13956.36,13800.25,0,0,1,1,1,0,0,0,6
7,0,5,10,2,28159.21,21784.25,0,4,2020,28159.21,18198.34,1,0,0,1,0,1,0,1,7
8,0,5,10,2,13794.94,21784.25,2,1,2022,13794.94,27421.04,0,0,1,1,0,0,0,0,8
9,0,5,10,2,21984.82,21784.25,0,3,2022,21984.82,17887.05,0,1,0,1,0,1,1,0,9
10,0,5,10,2,19464.21,21784.25,1,2,2023,19464.21,18893.92,0,0,1,0,1,0,0,0,10
11,0,5,10,2,15160.36,21784.25,1,1,2024,15160.36,28645.77,0,0,1,1,0,0,0,0,11
12,0,5,10,2,21670.01,21784.25,0,2,2024,21670.01,15160.36,0,0,1,1,1,0,0,0,12
13,0,5,10,2,21103.23,21784.25,2,3,2024,21103.23,21670.01,0,1,0,0,0,1,1,0,13
14,0,5,10,2,21850.25,21784.25,1,2,2025,21850.25,29007.42,0,0,1,1,1,0,0,0,14
15,0,5,10,2,26897.86,21784.25,1,4,2025,26897.86,25941.6,1,0,0,0,0,1,0,1,15
16,0,5,149,9,9471.9,14827.33,0,3,2023,9471.9,6768.33,0,1,0,1,0,1,1,0,16
17,0,5,149,9,12312.58,14827.33,1,4,2024,12312.58,8460.53,1,0,0,0,0,1,0,1,17
18,0,5,9,5,724.19,1223.47,1,3,2020,724.19,484.03,0,1,0,0,0,1,1,0,18
19,0,5,9,5,620.86,1223.47,2,2,2021,620.86,415.36,0,0,1,1,1,0,0,0,19
20,0,5,9,5,571.75,1223.47,2,2,2022,571.75,509.0,0,0,1,0,1,0,0,0,20
21,0,5,9,5,720.3,1223.47,2,2,2023,720.3,563.43,0,0,1,0,1,0,0,0,21
22,0,5,9,5,691.77,1223.47,0,2,2025,691.77,538.63,0,0,1,1,1,0,0,0,22
23,0,5,9,5,977.02,1223.47,1,4,2025,977.02,770.93,1,0,0,0,0,1,0,1,23
24,0,5,153,8,434.64,1251.2,1,1,2020,434.64,391.18,0,0,1,0,0,0,0,0,24
25,0,5,153,8,663.64,1251.2,1,2,2020,663.64,434.64,0,0,1,1,1,0,0,0,25
26,0,5,153,8,596.18,1251.2,1,2,2021,596.18,445.08,0,0,1,1,1,0,0,0,26
27,0,5,153,8,636.65,1251.2,2,1,2023,636.65,778.58,0,0,1,1,0,0,0,0,27
28,0,5,153,8,655.97,1251.2,2,2,2023,655.97,636.65,0,0,1,0,1,0,0,0,28
29,0,5,153,8,977.12,1251.2,1,3,2023,977.12,655.97,0,1,0,1,0,1,1,0,29
30,0,5,153,8,836.76,1251.2,1,4,2023,836.76,977.12,1,0,0,0,0,1,0,1,30
31,0,5,153,8,678.82,1251.2,0,1,2025,678.82,862.65,0,0,1,1,0,0,0,0,31
32,0,5,198,0,26812.04,68246.14,1,3,2020,26812.04,26473.62,0,1,0,0,0,1,1,0,32
33,0,5,198,0,17584.4,68246.14,0,1,2021,17584.4,51722.71,0,0,1,0,0,0,0,0,33
34,0,5,198,0,29721.12,68246.14,0,3,2021,29721.12,34056.8,0,1,0,1,0,1,1,0,34
35,0,5,198,0,25314.18,68246.14,1,1,2023,25314.18,50278.77,0,0,1,1,0,0,0,0,35
36,0,5,198,0,36467.12,68246.14,1,3,2023,36467.12,23398.69,0,1,0,1,0,1,1,0,36
37,0,5,198,0,29026.1,68246.14,1,1,2024,29026.1,46107.58,0,0,1,1,0,0,0,0,37
38,0,5,198,0,29234.89,68246.14,2,3,2024,29234.89,31713.9,0,1,0,0,0,1,1,0,38
39,0,5,198,0,55067.15,68246.14,0,4,2025,55067.15,30463.89,1,0,0,0,0,1,0,1,39
40,0,5,131,1,4171.01,5056.99,0,4,2020,4171.01,3046.73,1,0,0,1,0,1,0,1,40
