distributor_id,industry,sku,category,sales,avg_quarterly_sales,movement_category,quarter,year,total_quarter_sales,prev_quarter_sales,is_diwali,is_ganesh_chaturthi,is_gudi_padwa,is_eid,is_akshay_tritiya,is_dussehra_navratri,is_onam,is_christmas,time_idx
DIST036,Healthcare,MDH Garam Masala,Food,4726.09,6345.93,Fast Moving,2,2022,4726.09,9533.64,0,0,1,0,1,0,0,0,26645
DIST007,E-commerce,Shell Helix Ultra 4L,Automotive,4015,4141.9,Slow Moving,3,2023,4015,3504.12,0,1,0,1,0,1,1,0,4927
DIST012,Retail,PlayStation 5 Digital Edition,Toys,12386.14,13593.1,Medium,2,2024,12386.14,11915.21,0,0,1,1,1,0,0,0,8683
DIST034,E-commerce,PlayStation 5 Digital Edition,Toys,13198.1,13593.1,Medium,4,2020,13198.1,9534.84,1,0,0,1,0,1,0,1,25185
DIST009,Manufacturing,Britannia Good Day Cookies,Food,3148.8,4600.58,Medium,1,2023,3148.8,5176.39,0,0,1,1,0,0,0,0,6160
DIST013,Manufacturing,MTR Breakfast Mix,Food,699.5,640.46,Slow Moving,2,2023,699.5,704.52,0,0,1,0,1,0,0,0,9337
DIST037,Education,Philips Air Purifier 3000i,Electronics,1223.22,2898.74,Medium,2,2021,1223.22,848.68,0,0,1,1,1,0,0,0,27424
DIST013,Manufacturing,Vans Old Skool Sneakers,Apparel,3138,13401.03,Slow Moving,1,2020,3138,2824.2,0,0,1,0,0,0,0,0,9370
DIST021,Healthcare,Ensure Protein Powder,Health,9855.6,6692.47,Slow Moving,4,2024,9855.6,7448.58,1,0,0,0,0,1,0,1,15421
DIST034,E-commerce,Dove Moisturizing Cream,Beauty,3128.76,3468.33,Fast Moving,3,2022,3128.76,1890.59,0,1,0,1,0,1,1,0,24985
DIST048,Manufacturing,Philips Dry Iron,Home Goods,2693.51,1900.07,Fast Moving,2,2024,2693.51,1698.25,0,0,1,1,1,0,0,0,35672
DIST041,E-commerce,Reebok Dumbbells Set,Sports,916.76,1200.72,Slow Moving,2,2024,916.76,615.11,0,0,1,1,1,0,0,0,31106
DIST011,Healthcare,Real Mixed Fruit Juice,Beverages,3139.73,3092.51,Slow Moving,4,2025,3139.73,2953.68,1,0,0,0,0,1,0,1,8092
DIST037,Education,Lego Classic Creative Box,Toys,22787.17,16891.13,Slow Moving,4,2021,22787.17,12001.69,1,0,0,0,0,1,0,1,27560
DIST036,Healthcare,MTR Breakfast Mix,Food,798.01,640.46,Medium,1,2024,798.01,1179.28,0,0,1,1,0,0,0,0,26948
DIST037,Education,Bosch Wiper Blades,Automotive,10326.25,6474.21,Slow Moving,4,2024,10326.25,9099.75,1,0,0,0,0,1,0,1,27891
DIST038,Education,Dulux Velvet Touch Diamond Glo,Paint and ancillaries,2300.67,2159.99,Fast Moving,3,2021,2300.67,2628.02,0,1,0,1,0,1,1,0,28467
DIST026,Manufacturing,Mobil Super Mileage 15W-40,Automotive,2975.37,2485.01,Fast Moving,2,2020,2975.37,1987.22,0,0,1,1,1,0,0,0,19113
DIST028,Financial Services,Borosil Glass Set,Home Goods,2812.47,2770.72,Medium,4,2024,2812.47,2041.91,1,0,0,0,0,1,0,1,20403
DIST045,E-commerce,Uniqlo AIRism Undershirt,Apparel,5452.17,4630.7,Fast Moving,3,2023,5452.17,3247.88,0,1,0,1,0,1,1,0,33542
DIST009,Manufacturing,Castrol Engine Oil 3L,Automotive,5804.17,5056.99,Fast Moving,1,2022,5804.17,6530.21,0,0,1,1,0,0,0,0,6754
DIST020,Retail,Ray-Ban Wayfarer Sunglasses,Apparel,2074.27,2462.16,Medium,2,2023,2074.27,2193.86,0,0,1,0,1,0,0,0,14742
DIST025,Financial Services,Zara Slim Fit Blazer,Apparel,2800.45,8387.38,Fast Moving,1,2021,2800.45,7941.54,0,0,1,0,0,0,0,0,17968
DIST033,E-commerce,Biotique Morning Nectar Lotion,Beauty,2317.18,2458.76,Slow Moving,2,2025,2317.18,2581.53,0,0,1,1,1,0,0,0,24732
DIST038,Education,Speedo Swimming Goggles,Sports,1759.08,2407.12,Slow Moving,3,2023,1759.08,1508.57,0,1,0,1,0,1,1,0,28090
DIST005,Financial Services,iPhone 15 Pro 256GB,Electronics,20740.32,10013.21,Fast Moving,4,2020,20740.32,10304.35,1,0,0,1,0,1,0,1,3113
DIST026,Manufacturing,Asian Paints Apcolite Premium Enamel,Paint and ancillaries,4117.35,6108.35,Slow Moving,1,2024,4117.35,6087.84,0,0,1,1,0,0,0,0,18576
DIST041,E-commerce,Asian Paints Tractor Emulsion,Paint and ancillaries,5765.06,22882.43,Fast Moving,1,2020,5765.06,5188.55,0,0,1,0,0,0,0,0,30705
DIST023,Manufacturing,Kangaro Stapler HS-10D,Office Supplies,2870.47,2122.68,Slow Moving,3,2022,2870.47,2667.59,0,1,0,1,0,1,1,0,16065
DIST048,Manufacturing,Hasbro Gaming Jenga,Toys,440.49,845.34,Slow Moving,1,2024,440.49,907.45,0,0,1,1,0,0,0,0,36106
DIST007,E-commerce,Scotch Magic Tape,Office Supplies,5243.67,4473.52,Slow Moving,3,2025,5243.67,3927.68,0,1,0,0,0,1,1,0,5048
DIST023,Manufacturing,Nerolac Excel Anti-Peel Exterior,Paint and ancillaries,3197.1,3593.19,Fast Moving,1,2023,3197.1,5307.88,0,0,1,1,0,0,0,0,16843
DIST023,Manufacturing,Asian Paints Royale Luxury Emulsion,Paint and ancillaries,5756.12,7547.97,Fast Moving,1,2024,5756.12,8330.71,0,0,1,1,0,0,0,0,16937
DIST029,Manufacturing,Supreme Plastic Chair Set,Home Goods,1575.48,2453.24,Fast Moving,3,2023,1575.48,1414.53,0,1,0,1,0,1,1,0,21477
DIST030,Financial Services,Slazenger Tennis Balls,Sports,4435.49,3804,Medium,4,2025,4435.49,3925.06,1,0,0,0,0,1,0,1,21670
DIST024,Hospitality,Lego Classic Creative Box,Toys,13249.44,16891.13,Fast Moving,2,2021,13249.44,12109.49,0,0,1,1,1,0,0,0,17674
DIST003,Education,Zandu Balm,Health,10677.34,10870.3,Slow Moving,4,2020,10677.34,8350.79,1,0,0,1,0,1,0,1,1743
DIST048,Manufacturing,Philips Dry Iron,Home Goods,2176.08,1900.07,Fast Moving,3,2020,2176.08,1912.23,0,1,0,0,0,1,1,0,35658
DIST007,E-commerce,Asian Paints Royale Luxury Emulsion,Paint and ancillaries,16045.17,7547.97,Slow Moving,2,2025,16045.17,6299.74,0,0,1,1,1,0,0,0,5228
DIST019,E-commerce,Me-O Cat Food Seafood 7kg,Pet Supplies,12343.21,21784.25,Fast Moving,1,2022,12343.21,22099.22,0,0,1,1,0,0,0,0,13453
DIST045,E-commerce,Zandu Balm,Health,5577.37,10870.3,Slow Moving,1,2020,5577.37,5019.63,0,0,1,0,0,0,0,0,33668
DIST041,E-commerce,Paper Boat Aam Panna,Beverages,4870.04,6158.53,Slow Moving,1,2022,4870.04,7552.49,0,0,1,1,0,0,0,0,30478
DIST003,Education,Asian Paints Apcolite Premium Enamel,Paint and ancillaries,4290.52,6108.35,Medium,3,2025,4290.52,4937.86,0,1,0,0,0,1,1,0,1853
DIST005,Financial Services,Supreme Plastic Chair Set,Home Goods,3450.49,2453.24,Slow Moving,3,2024,3450.49,3521.05,0,1,0,0,0,1,1,0,3446
DIST043,Education,Xbox Series X,Toys,14959.75,9659.16,Slow Moving,3,2024,14959.75,11711.34,0,1,0,0,0,1,1,0,32496
DIST033,E-commerce,Cat Mate Pet Fountain,Pet Supplies,7310.34,5975.71,Medium,3,2024,7310.34,6511.36,0,1,0,0,0,1,1,0,24687
DIST050,Wholesale,Pepsi 330ml Can Pack,Beverages,16642.31,21367.23,Slow Moving,4,2025,16642.31,18693.24,1,0,0,0,0,1,0,1,37559
DIST030,Financial Services,Reynolds Trimax Pen Pack,Office Supplies,1182.25,1408.82,Slow Moving,2,2024,1182.25,854.27,0,0,1,1,1,0,0,0,21708
DIST004,Healthcare,Bombay Dyeing Bedsheet Set,Home Goods,5094.63,6567.88,Medium,1,2023,5094.63,11485.44,0,0,1,1,0,0,0,0,2445
DIST021,Healthcare,Michael Kors Crossbody Bag,Apparel,13222.71,7211.41,Fast Moving,4,2021,13222.71,10337.2,1,0,0,0,0,1,0,1,15344
DIST037,Education,Everest Chicken Masala,Food,1147.27,1251.2,Fast Moving,4,2023,1147.27,1288.67,1,0,0,0,0,1,0,1,27681
DIST016,E-commerce,Real Mixed Fruit Juice,Beverages,2528.52,3092.51,Fast Moving,1,2020,2528.52,2275.67,0,0,1,0,0,0,0,0,11630
DIST046,Manufacturing,Nike Football,Sports,1016.05,1785.87,Fast Moving,2,2021,1016.05,878.3,0,0,1,1,1,0,0,0,34587
DIST010,E-commerce,Bosch Wiper Blades,Automotive,6533.29,6474.21,Slow Moving,2,2023,6533.29,6475.24,0,0,1,0,1,0,0,0,7487
DIST033,E-commerce,Kinley Water 1L Pack,Beverages,7762.92,8863.91,Fast Moving,1,2021,7762.92,11914.78,0,0,1,0,0,0,0,0,24114
DIST050,Wholesale,Pigeon Favorite Electric Kettle,Home Goods,4219.51,6581.96,Medium,2,2022,4219.51,3180.91,0,0,1,0,1,0,0,0,37336
DIST027,Wholesale,Ponds Face Powder,Beauty,1084.46,2244.92,Fast Moving,1,2023,1084.46,1734.83,0,0,1,1,0,0,0,0,19692
DIST029,Manufacturing,Vans Old Skool Sneakers,Apparel,13781.86,13401.03,Slow Moving,2,2022,13781.86,10584.19,0,0,1,0,1,0,0,0,20740
